id,code,name_en,name_zh,address_en,address_zh,latitude,longitude,phone,email,height_limit,facility_no,district_id,priority,record_id
00000000-0000-0000-000000000156,P869-3,"Car Park 3, HZMB Hong Kong Port ",港珠澳大橋香港口岸3號停車場,"Car Park 3, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port Artificial Island, Chek Lap Kok, Lantau Island",大嶼山赤鱲角港珠澳大橋香港口岸人工島3號停車場,22.314997,113.953208,6466-2869/ 2499- 6132,,,,96,67,342
00000000-0000-0000-000000000157,P869-4,"Car Park 4, HZMB Hong Kong Port ",港珠澳大橋香港口岸4號停車場,"Car Park 4, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port Artificial Island, Chek Lap Kok, Lantau Island",大嶼山赤鱲角港珠澳大橋香港口岸人工島4號停車場,22.314,113.952404,6466-2869/ 2499- 6132,,,,96,66,343
00000000-0000-0000-000000000158,P869-5,"Car Park 5, HZMB Hong Kong Port ",港珠澳大橋香港口岸5號停車場,"Car Park 5, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port Artificial Island, Chek Lap Kok, Lantau Island",大嶼山赤鱲角港珠澳大橋香港口岸人工島5號停車場,22.314056,113.952879,6466-2869/ 2499- 6132,,,,96,65,344
00000000-0000-0000-000000000159,P858,Tsuen Wan West Station,荃灣西站,"Level B1 & B2 of Ocean Supreme, 100 Tai Ho Road, Tsuen Wan",荃灣大河道100號海之戀．愛炫美B1及B2層,22.3699094,114.1083287,9440-4858,,,,62,64,345
00000000-0000-0000-00000000015b,P876,One Sky Parc,One Sky Parc,"53 Hung To Road, Kwun Tong",觀塘鴻圖道53號,22.3111392,114.2223215,9229-6642,,,1412865,29,62,347
00000000-0000-0000-000000000170,P330-3-LGV & Taxi Long Term,HKIA Prebooked Taxi Pick-up Zone/ LGV/ Taxi Long Term Parking Area,香港國際機場預約的士上客區/ 輕型貨車/ 的士長期停放區,"Hong Kong International Airport, Chek Lap Kok, Lantau Island",大嶼山赤鱲角香港國際機場,22.3121688,113.9362772,2183-4360,,,,96,41,368
00000000-0000-0000-000000000171,P330-3-LGV (hourly),HKIA LGV (Hourly) Parking Area, 香港國際機場輕型貨車 (時租) 停放區,"Hong Kong International Airport, Chek Lap Kok, Lantau Island",大嶼山赤鱲角香港國際機場,22.3145835,113.9378033,2183-4360,,,,96,40,369
00000000-0000-0000-000000000174,P729,Clague Garden Estate,祈德尊新邨,"26 Hoi Shing Road, Tsuen Wan",荃灣海盛路26號,22.3697724,114.1111485,9664-2729,,,,62,37,372
00000000-0000-0000-00000000018d,P909,909 Cheung Sha Wan Road,長沙灣道909號,"909 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",九龍長沙灣長沙灣道909號,22.336350338383234,114.1461728096285,6321-5909,,,1411842,22,12,397
00000000-0000-0000-00000000018f,P443,Cayman Rise,加惠臺,"29 Ka Wai Man Road, Kennedy Town",堅尼地城加惠民道29號,22.2812806,114.1248239,9386-0443,,,,8,10,399
00000000-0000-0000-000000000190,P504,Yue Kwong Chuen,漁光村,"26 Aberdeen Reservoir Road, Aberdeen",香港仔水塘道26號,22.2516167,114.1567901,6329-3504,,,7999504,1,9,400
00000000-0000-0000-000000000191,P913,Marina 8,Marina 8,"8 Heung Yip Road, Wong Chuk Hang",黃竹坑香葉道8號,22.24861357325216,114.16769237094246,6011-2913,,,1410679,75,8,401
00000000-0000-0000-000000000193,P72(S8),Mei Foo Sun Chuen Stage 8,美孚新邨8期,"Stage 8 Mei Foo Sun Chuen, Lai Chi Kok",荔枝角美孚新邨8期,22.3351346,114.1411088,2741-4408,,,,30,6,403
00000000-0000-0000-000000000194,P919,Yuk Yat Street ,旭日街,"17 Yuk Yat Street, To Kwa Wan, Kowloon",九龍土瓜灣旭日街17號,22.3163442,114.1920077,9312-0919,,,7999919,39,5,404
00000000-0000-0000-000000000196,P918,International Trade Centre,達貿中心,"11-19 Sha Tsui Road, Tsuen Wan",荃灣沙咀道11-19號,22.3745266,114.108041,9664-2918,,,1410422,62,3,406
00000000-0000-0000-000000000197,P921,Wetland Public Vehicle Park,Wetland Public Vehicle Park,"1 Wetland Park Road, Tin Shui Wai",天水圍濕地公園路1號,22.4680994,114.0033711,5726-2921,,,1412311,59,2,407
00000000-0000-0000-000000000199,P440,Lucky Plaza,好運中心,"1-15 Wang Pok Street, Shatin",沙田橫壆街1-15號,22.3831662,114.1900592,6462-8440,,,1411578,55,1,409
00000000-0000-0000-00000000019a,P209,Tai Po Mega Mall Multi-Storey Car Park,大埔超級城多層停車場,"On Pong Road, Tai Po",大埔安邦路2號,22.4534163,114.1711666,9725-9209,,,1411107,57,,410
00000000-0000-0000-00000000019d,P925,Honour Industrial Centre,安力工業中心,"6 Sun Yip Street, Chai Wan",柴灣新業街6號,22.2666837,114.2472343,5724-5925,,,1410489,6,,413
00000000-0000-0000-00000000019e,P926,New Commerce Centre,滙貿中心,"19 On Sum Street, Shek Mun, Shatin",沙田石門安心街19號,22.3892415,114.2075157,5724-5926,,,1410414,55,414,414
00000000-0000-0000-00000000019f,P927,New Trade Plaza,新貿中心,"6 On Ping Street, Shek Mun, Shatin",沙田石門安平街6號,22.3909887,114.2071565,5724-5927,,,1412758,55,415,415
00000000-0000-0000-0000000001a0,P929A,"West Gate Open Car Park, West Kowloon Cultural District",西九文化區西閘露天停車場,"Museum Drive, West Kowloon, Tsim Sha Tsui",尖沙咀西九龍博物館道,22.3021314,114.1567398,5724-5929,,,,40,,416
00000000-0000-0000-0000000001a1,P929B,"Hong Kong Palace Museum Car Park, West Kowloon Cultural District",西九文化區香港故宮文化博物館停車場,"Museum Drive, West Kowloon, Tsim Sha Tsui",尖沙咀西九龍博物館道,22.3008014,114.1565887,2104-5366,,,,40,,417
00000000-0000-0000-0000000001a2,P929C,"Art Park Car Park, West Kowloon Cultural District",西九文化區藝術公園停車場,"Museum Drive, West Kowloon, Tsim Sha Tsui",尖沙咀西九龍博物館道,22.3013584,114.1577688,6113-4929,,,,40,,418
00000000-0000-0000-0000000001a3,P929D,"M+ Car Park, West Kowloon Cultural District ",西九文化區M+停車場,"M+, Museum Drive, West Kowloon, Tsim Sha Tsui",尖沙咀西九龍博物館道M+,22.3017597,114.158423,9018-4929,,,,40,,419
00000000-0000-0000-0000000001a4,P928,Brill Plaza,環凱廣場,"No.84 To Kwa Wan Road, To Kwa Wan, Kowloon",九龍土瓜灣土瓜灣道84號,22.3180475,114.1911688,9440-4928,,,1411248,39,,420
00000000-0000-0000-0000000001a5,P924,Scramble Hill,三布目,"98 How Ming Street, Kwun Tong",觀塘巧明街98號,22.3131996,114.2205472,9853-1924,,,1412204,29,,421
00000000-0000-0000-0000000001a6,P930,Hi-Tech Industrial Centre,嘉力工業中心,"5-21 Pak Tin Par Street, Tsuen Wan",荃灣白田壩街5-21號,22.3744861,114.1090743,8489-1930,,,1410810,62,,422
00000000-0000-0000-0000000001a7,P931,Valiant Industrial Centre,威力工業中心,"2-12 Au Pui Wan Street, Fo Tan, Shatin",沙田火炭坳背灣街2-12號,22.3976461,114.196326,9012-5931,,,7999931,48,,423
00000000-0000-0000-0000000001a8,P932,The Burrow,The Burrow,"15-17 Ng Fong Street, San Po Kong, Kowloon",九龍新蒲崗五芳街15-17號 ,22.3382348,114.1998195,9737-0932,,,1414085,35,,424
00000000-0000-0000-0000000001a9,P933,Mega Trade Centre,時貿中心,"1-6 Mei Wan Street, Tsuen Wan",荃灣美環街1-6號 ,22.3752084,114.1146948,9229-6642,,,1413855,62,,425
00000000-0000-0000-0000000001ab,P937,Beauty Court,麗珊園,"3 Hung Tai Road, Hung Shui Kiu, Yuen Long",元朗洪水橋洪堤路3號,22.4338844,113.9968783,6017-9744,,,1413913,65,,427
00000000-0000-0000-0000000001ac,P936,Aster Court,雅珊園,"8 Hung Tai Road, Hung Shui Kiu, Yuen Long",元朗洪水橋洪堤路8號,22.4341531,113.9961923,6017-9744,,,1413905,65,,428
00000000-0000-0000-0000000001ad,P935,Tonic Industrial Centre,同力工業中心,"19 Lam Hing Street, Kowloon Bay",九龍灣臨興街19號,22.3246324,114.2103418,9437-6935,,,1413889,27,,429
00000000-0000-0000-0000000001ae,P934,Eight Regency,珀御,"8 Leung Tak Street, Tuen Mun",屯門良德街8號,22.4078489,113.9677669,6017-9744,,,1413392,63,,430
00000000-0000-0000-0000000001af,P940,SOHO West,SOHO West,"10 Lai Ying Street, Cheung Sha Wan",長沙灣荔盈街10號,22.3270562,114.1495751,9441-1940,,,1413897,22,,431
00000000-0000-0000-0000000001b0,P938,Mayfair Gardens,美景花園,"2-16 Sai Shan Road, Tsing Yi",青衣細山路2-16號,22.343804,114.1062832,9451-5938,,,1413962,61,,432
00000000-0000-0000-0000000001b1,P939,Kodak House II,柯達大廈二座,"39 Healthy Street East, North Point",北角健康東街39號,22.2927647,114.2075017,9451-7939,,,1413954,9,,433
00000000-0000-0000-0000000001b2,P756,Hoi Wah Road (II),海華路(II),"Hoi Wah Road,Tuen Mun",屯門海華路,22.3811704,113.9739579,6017-9744,,,1412543,63,,434
00000000-0000-0000-0000000001b3,P942,V Walk,V Walk,"Level 3, 28 Sham Mong Road, Sham Shui Po",深水埗深旺道28號3樓,22.3263735,114.1549457,9852-6942,,,1413426,37,,435
00000000-0000-0000-0000000001b4,P941,GO PARK Sai Sha,西沙GO PARK,"No.9 Hoi Ying Road, Ma On Shan",馬鞍山海映路9號,22.4267274,114.265343,9162-7941,,,1414010,52,,436
00000000-0000-0000-0000000001b5,P944,Harbour North Phase 2-3,北角匯 二至三期,"123 Java Road, North Point (Phase 2) ; 133 Java Road, North Point (Phase 3)",北角渣華道123號 (二期)；北角渣華道133號 (三期),22.2936005,114.2026298,9734-0944,,,1413319,9,,437
00000000-0000-0000-0000000001b6,P945,Ka Fu Fong Public Car Park,嘉富坊公眾停車場,"San Wan Road, Sheung Shui Town Lot No. 301",上水市地段第301號新運路,22.5060105,114.1241301,6019-5945,,,1414069,56,,438
00000000-0000-0000-0000000001b7,P946,Technology Plaza,科匯中心,"No. 651 King's Road, North Point",香港北角英皇道651號,22.2921486,114.2075769,9167-2946,,,7999946,9,,439
00000000-0000-0000-0000000001b8,P947,S22,S22,"22 Heung Yip Road, Wong Chuk Hang",香港黃竹坑香葉道22號,22.2478227,114.1659994,9684-1947,,,1413988,75,,440
00000000-0000-0000-0000000001bf,P948,GO PARK Aqua Public Car Park,GO PARK Aqua 公眾停車場,"Tai Po Town Lot No. 254, New Territories",新界大埔市地段254號,22.4291265,114.2679965,9162-7941,,,,52,,447
00000000-0000-0000-0000000001c0,P943,Yue Ying Lau,漁映樓,"33 Shek Pai Wan Road, Aberdeen",香港仔石排灣道33號,22.2499706,114.1471207,,,,,1,,448
00000000-0000-0000-0000000001c1,P949,One Causeway Bay,港島壹號中心,"281 Gloucester Road, Causeway Bay",銅鑼灣告士打道281號,22.2823001,114.1842903,9542-3949,,,,4,,449
00000000-0000-0000-0000000001c2,P599S,Wonderland Villas (Southern),華景山莊 (南),"9 Wah King Hill Road, Lai King",荔景華景山道9號,22.3532988,114.1361182,5130-4199,,,,51,,450
00000000-0000-0000-0000000001c3,P599N,Wonderland Villas (Northern),華景山莊 (北),"9 Wah King Hill Road, Lai King",荔景華景山道9號,22.3536605,114.1361915,5130-4199,,,1410976,51,,451
00000000-0000-0000-0000000001c4,P954,GO PARK 2,GO PARK 2,"8 Hoi Ying Road, Sai Sha, New Territories",新界西沙海映路8號,22.4281994,114.266353,9162-7941 ,,,1414143,52,,452
00000000-0000-0000-0000000001c5,P952,Pak Shing Kok Road Public Car Park,百勝角路公眾停車場,"1 Pak Shing Kok Road, Tseung Kwan O, New Territories",新界將軍澳百勝角路1號,22.30445,114.272749,9725-7952,,,,60,,453
00000000-0000-0000-0000000001c6,P951,Heung Yuen Wai Boundary Control Point Public Car Park,香園圍邊境管制站公眾停車場,"Ta Kwu Ling, Northern District, New Territories",新界北區打鼓嶺,22.5519941,114.1511779,6112-3951,,,,97,,454
00000000-0000-0000-0000000001c7,P950,Cullinan Sky Mall,天璽•天Mall ,"10 Concorde Road, Kai Tak, Kowloon",九龍啟德協調道10號,22.3312456,114.1999202,5595-2950,,,1414119,98,,455
00000000-0000-0000-0000000001c8,P953,Tseung Kwan O Government Offices Public Car Park,將軍澳政府合署公眾停車場,"30 Tong Yin Street, Tseung Kwan O, New Territories",新界將軍澳唐賢街30號,22.3033773,114.2574771,6468-7953 ,,,,60,,456
00000000-0000-0000-0000000001c9,P955,International Gateway Centre (IGC) ,International Gateway Centre (IGC) ,"1 Wui Man Road, Tsim Sha Tsui, West Kowloon",尖沙咀西九龍匯民道一號,22.3048993,114.1644995,6114-8995 ,,,,40,,457
00000000-0000-0000-0000000001cb,P330-loading-dock-2,HKIA Loading Dock 2,香港國際機場2號卸貨區," Hong Kong International Airport, Chek Lap Kok, Lantau Island", 大嶼山赤鱲角香港國際機場,22.3150281,113.9386746,2183-4360,,,,96,,459
